Timestamp | Location | Velocity | Angular Velocity | Acceleration 
0.0009980201721191406 | 234.32418823242188,32.69490051269531,-0.0051125334575772285 | 0.0,0.0,0.0 | 0.0,0.0,0.0 | 0.0,0.0,0.0
0.5029373168945312 | 234.32418823242188,32.69490051269531,-0.0050273132510483265 | 1.6639121724892902e-07,-7.297516901871859e-08,0.00043589144479483366 | 1.9003959096153267e-05,5.272372436593287e-05,7.815431501967396e-08 | -2.291320743097458e-05,-1.6872407286427915e-05,0.046631790697574615
1.005108118057251 | 234.3231964111328,32.73542785644531,-0.00688934326171875 | -0.01589072495698929,0.655636727809906,0.0016726480098441243 | 1.950358271598816,0.05424276739358902,0.008842621929943562 | -0.1667889803647995,6.9020490646362305,-0.08233793824911118
1.5057692527770996 | 234.3052215576172,33.47324752807617,-0.009552688337862492 | -0.05169282481074333,2.1193337440490723,0.0002658071753103286 | -0.15312953293323517,-0.004044916480779648,0.007357858587056398 | -0.07024265080690384,2.854318380355835,-0.01725422590970993
2.008779287338257 | 234.27200317382812,34.83922576904297,-0.008894309401512146 | -0.08042667806148529,3.2876172065734863,-0.0004058093181811273 | -0.07141197472810745,-0.002281832741573453,0.009244652464985847 | -0.0676523894071579,2.7237677574157715,-0.06443288922309875
2.51115345954895 | 234.225830078125,36.72884750366211,-0.0076235197484493256 | -0.09663759917020798,3.9373769760131836,0.0002725085651036352 | -1.5047131776809692,-0.0421893373131752,-0.01084140781313181 | 0.051042985171079636,-2.088061809539795,-0.025824198499321938
3.015340566635132 | 234.19541931152344,37.96914291381836,0.0032770538236945868 | -0.021319355815649033,0.8715548515319824,-3.686697891680524e-05 | -0.7903307676315308,-0.026244645938277245,-0.013869975693523884 | 0.15005600452423096,-6.11944055557251,-0.06259714812040329
3.517192840576172 | 234.19398498535156,38.02674865722656,-0.0022021865006536245 | 0.00015315577911678702,-0.004786392208188772,0.0005350693827494979 | 1.2140533924102783,0.040592897683382034,-9.948660590453073e-06 | -0.0004300492873881012,0.015076442621648312,-0.0114865368232131
4.019732236862183 | 234.1938934326172,38.028263092041016,-0.004884147550910711 | 1.0333562386222184e-05,-0.0003610107523854822,0.0009424030431546271 | 0.09046141803264618,0.0026724236086010933,2.827500111379777e-06 | -5.707431773771532e-05,0.0020611078944057226,-0.013348765671253204
4.5252366065979 | 234.1938934326172,38.02836227416992,-0.0050411224365234375 | 1.91045828046299e-07,-1.0099620340042748e-05,0.00017856289923656732 | 0.0025453113485127687,4.503589298110455e-05,-1.4190773356403952e-07 | 9.091771971725393e-06,-0.0002077951212413609,0.00952270906418562
5.028885841369629 | 234.1938934326172,38.02838134765625,-0.005038108676671982 | 1.0267316241652225e-07,-5.178070296096848e-06,5.627815335174091e-05 | 0.0012978544691577554,2.471603329468053e-05,-1.8075306584819373e-08 | -3.1477273410018825e-07,-4.402169452077942e-06,0.04599824175238609
