Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
18040 | 601.3333646953106 | 168.13265991210938,187.71142578125,0.2624184191226959 | -4.952342987060547,-0.09878839552402496,-1.4493433582174475e-06 | 268.9 | -0.09449918568134308,0.900777280330658,-4.068225860595703 | 5.027675151824951,0.1885635256767273,-2.86054591924767e-06 | 0,0
18050 | 601.6666980460286 | 167.19085693359375,187.6942138671875,0.2577469050884247 | -0.45884817838668823,-0.012016074731945992,0.000943293678574264 | 0 | -0.08923696726560593,2.4563076496124268,0.22840604186058044 | 19.584482192993164,0.5274566411972046,0.0013644811697304249 | 0,0
18060 | 602.0000313967466 | 167.17529296875,187.6937713623047,0.2603675127029419 | -0.43968474864959717,-0.01213061809539795,0.0005092915962450206 | 0 | 0.0871444121003151,-3.188716173171997,-0.007281594909727573 | -8.107697486877441,-0.22414995729923248,-0.0018587829545140266 | 0,0
18070 | 602.3333647474647 | 166.76612854003906,187.68247985839844,0.2632099688053131 | -1.787101149559021,-0.04899069666862488,5.3568495786748827e-05 | 268.4 | 0.009831204079091549,-0.42129430174827576,-0.02166600339114666 | -3.1277916431427,-0.07988165318965912,-0.00048228789819404483 | 0,0
18080 | 602.6666980981827 | 165.99642944335938,187.6615447998047,0.2633625268936157 | -2.7686715126037598,-0.07456057518720627,7.647193342563696e-06 | 268.5 | -0.0014047779841348529,0.03247731551527977,-0.05854160711169243 | -2.84256911277771,-0.07108255475759506,-5.2634037274401635e-05 | 0,0
18090 | 603.0000314489007 | 165.00729370117188,187.63552856445312,0.26221275329589844 | -2.4232797622680664,-0.0609915591776371,1.584742494742386e-05 | 268.6 | -0.05766342952847481,2.2350656986236572,-0.13071347773075104 | 8.076108932495117,0.2235117107629776,-7.265788735821843e-05 | 0,0
18100 | 603.3333647996187 | 164.5479278564453,187.6240234375,0.2609064280986786 | -1.3906078338623047,-0.03188853710889816,2.39141645579366e-05 | 268.7 | 0.03918898105621338,-1.939244270324707,-0.12571309506893158 | -4.051784038543701,-0.08200322836637497,0.00042679341277107596 | 0,0
18110 | 603.6666981503367 | 163.88880920410156,187.60891723632812,0.2629696726799011 | -2.471545457839966,-0.053756944835186005,-6.1597093008458614e-06 | 268.8 | 0.005983483977615833,-0.5014618039131165,-0.2406511902809143 | -2.9479119777679443,-0.05190252885222435,-8.06673924671486e-05 | 0,0
18120 | 604.0000315010548 | 163.00381469726562,187.5902862548828,0.26258596777915955 | -2.6640279293060303,-0.05128384381532669,5.263405000732746e-06 | 268.9 | -0.011072520166635513,0.4426562488079071,-0.33256977796554565 | 0.04278659448027611,0.022500714287161827,-6.52204398647882e-05 | 0,0
18130 | 604.3333648517728 | 162.09353637695312,187.5736083984375,0.2625178396701813 | -3.076813220977783,-0.04995943605899811,-1.8498197960070684e-06 | 269.1 | 0.00569907994940877,-0.799785852432251,-0.47668591141700745 | -4.149984836578369,-0.041631679981946945,-2.1168038074392825e-05 | 0,0
18140 | 604.6666982024908 | 161.11257934570312,187.55860900878906,0.2611534297466278 | -1.8121780157089233,-0.022667279466986656,-1.0183543963648845e-05 | 269.3 | -0.01619773544371128,2.5904557704925537,-0.3243500590324402 | 10.39150333404541,0.1652325540781021,-0.0003398328262846917 | 0,0
18150 | 605.0000315532088 | 160.9845428466797,187.5569305419922,0.25988003611564636 | 0.0026833692099899054,1.2828274520870764e-05,4.0409984649159014e-05 | 0 | 0.015122251585125923,-1.5037699937820435,9.307643631473184e-05 | 0.00529744615778327,0.00015530962264165282,0.0005572344525717199 | 0,0
18160 | 605.3333649039268 | 160.98654174804688,187.55694580078125,0.26161396503448486 | 0.0010027959942817688,1.202398652822012e-05,1.2262206837476697e-05 | 0 | 0.005596193950623274,-0.5255378484725952,4.176659058430232e-05 | -0.004930598195642233,-3.192378062522039e-05,-0.00015790213365107775 | 0,0
