Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
210 | 7.000000365078449 | 101.40929412841797,191.50579833984375,0.19645129144191742 | 5.103219032287598,0.01628723181784153,0.0018026590114459395 | 89.8 | -0.0019741440191864967,0.056339330971241,0.36130040884017944 | 1.6171501874923706,0.060702912509441376,-0.028418948873877525 | 0,0
251 | 8.366667103022337 | 108.41303253173828,191.5374298095703,0.19664336740970612 | 5.196774959564209,0.03330780193209648,-2.248389137093909e-05 | 89.6 | 0.00045397691428661346,-0.03772544860839844,0.09967964142560959 | -0.5390023589134216,-0.0009616836323402822,-0.0008953508804552257 | 0,0
294 | 9.800000511109829 | 113.20111846923828,191.56857299804688,0.19491873681545258 | -0.000248508236836642,1.2795414932043059e-06,0.0005040854448452592 | 0 | -0.003437297884374857,0.4382784068584442,1.9415336282690987e-05 | 0.0005280449986457825,-4.77159301226493e-06,-0.0022924416698515415 | 1,5
336 | 11.200000584125519 | 113.20053100585938,191.56857299804688,0.19606563448905945 | -9.104065270548745e-07,-3.623892297355269e-08,9.7258566711389e-07 | 0 | -6.75912742735818e-05,0.001480182516388595,9.404276468671924e-09 | 2.086811036861036e-06,-1.1289820349702495e-06,-2.2312258806778118e-05 | 1,5
376 | 12.533333986997604 | 113.20053100585938,191.56857299804688,0.19606932997703552 | -8.541117146876331e-09,1.0025599017637887e-08,-5.14898317760526e-07 | 0 | -1.4639588698628359e-05,1.4790185559832025e-05,-4.983292944960027e-11 | 8.930476980140156e-08,-5.334198931450373e-07,1.4302728231996298e-05 | 1,5
419 | 13.966667395085096 | 113.20053100585938,191.56857299804688,0.1960703581571579 | 3.0029154163280225e-10,2.9774318122122168e-08,-6.865310524517554e-07 | 0 | -5.723434242099756e-06,-8.630922820884734e-07,-1.5248851070737146e-09 | 9.845505744010552e-09,-2.481294991696359e-08,4.576874744088855e-06 | 1,5
461 | 15.366667468100786 | 113.65056610107422,191.57093811035156,0.19686809182167053 | 1.8624355792999268,0.015544534660875797,3.756850446734461e-06 | 89.5 | 0.0028342395089566708,0.10006173700094223,0.22410807013511658 | 3.79829740524292,0.03438591584563255,2.8605425086425385e-06 | 0,0
503 | 16.766667541116476 | 118.96187591552734,191.61505126953125,0.19634944200515747 | 4.92070198059082,0.03957860544323921,-4.672225259128027e-06 | 89.5 | 0.0015693031018599868,-0.09986389428377151,-0.0354558601975441 | -0.15807150304317474,-0.008413641713559628,-0.00010355176345910877 | 0,0
542 | 18.06666760891676 | 125.20902252197266,191.65538024902344,0.19610385596752167 | 4.827287197113037,0.01805289089679718,5.14898317760526e-07 | 89.8 | 4.870854536420666e-05,-0.0013119280338287354,-0.21087639033794403 | 0.05159854516386986,-0.022040659561753273,-2.3456477720174007e-05 | 0,0
584 | 19.46666768193245 | 131.99636840820312,191.66363525390625,0.1960914582014084 | 4.872009754180908,-0.007772484794259071,-3.623358395543619e-07 | 90.1 | -0.0013886006781831384,7.0274813879223075e-06,-0.17849920690059662 | 0.03650664910674095,-0.002153059234842658,0.0 | 0,0
625 | 20.833334419876337 | 138.6847381591797,191.64703369140625,0.19609004259109497 | 4.914790153503418,-0.016000719740986824,1.3349215066682518e-07 | 90.2 | -0.000506297976244241,0.00012538528244476765,-0.04169537499547005 | 0.03210067376494408,-0.0015679186908528209,3.604287849157117e-05 | 0,0
667 | 22.233334492892027 | 145.595947265625,191.62429809570312,0.1960907280445099 | 4.959191799163818,-0.016622867435216904,1.9070306223056832e-07 | 90.2 | 1.1158747838635463e-05,0.0001656342501519248,-0.0021464729215949774 | 0.03520488366484642,-0.0002636387653183192,-1.716327460599132e-05 | 0,0
706 | 23.53333456069231 | 151.93560791015625,191.60415649414062,0.1955203264951706 | 3.688357353210449,-0.010063211433589458,-8.581638212490361e-06 | 90.2 | -0.0002858976076822728,-0.3512265682220459,0.008000682108104229 | -7.760388374328613,0.019936438649892807,-2.2312258806778118e-05 | 0,0
749 | 24.966667968779802 | 155.18089294433594,191.59620666503906,0.1956547051668167 | 1.7797629833221436,-0.00324299861676991,-1.3082230907457415e-05 | 90.1 | 0.00012876730761490762,-0.45361578464508057,0.016263358294963837 | -7.462405681610107,0.018459854647517204,-8.638849249109626e-05 | 0,0
790 | 26.33333470672369 | 157.88534545898438,191.5922088623047,0.19461607933044434 | 8.355882164323702e-05,-4.035000984004e-06,-1.6820011296658777e-05 | 0 | 0.000438963295891881,-0.13708028197288513,-1.7059377569239587e-05 | -0.0052581229247152805,0.00019279736443422735,0.00010812861728481948 | 0,0
