Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1 | 0.03333333507180214 | 150.24002075195312,191.77003479003906,0.7990314960479736 | 0.0,0.0,-3.2609567642211914 | 0 | 0.0,0.0,0.0 | 0.0,0.0,-9.768211364746094 | 0,0
43 | 1.433333408087492 | 150.24002075195312,191.76968383789062,0.2577260136604309 | 8.3996621924598e-07,-1.0226372069155332e-05,0.0023654235992580652 | 0 | -0.030786942690610886,0.002872810699045658,-5.023206881560327e-07 | -1.4522457831844804e-06,1.8226435713586397e-05,-0.004993371665477753 | 0,0
84 | 2.8000001460313797 | 151.60208129882812,191.76458740234375,0.2572137117385864 | 3.7640767097473145,-0.023550845682621002,8.066739610512741e-06 | 90.4 | -0.0008330242126248777,0.24806831777095795,-0.43447697162628174 | -0.5067371726036072,-0.013502239249646664,-6.922523607499897e-05 | 0,0
128 | 4.266666889190674 | 154.9154052734375,191.7311248779297,0.2582088112831116 | 2.667046546936035,-0.034458354115486145,3.814061599882734e-08 | 90.7 | 0.0009840189013630152,-0.006665125489234924,-0.18426111340522766 | 1.6058777570724487,-0.018203480169177055,-1.2586401680891868e-05 | 0,0
170 | 5.666666962206364 | 159.8096466064453,191.6683349609375,0.25993216037750244 | 0.30526554584503174,-0.004208591300994158,-2.2312258352030767e-06 | 0 | -0.0020571674685925245,-0.1360883116722107,-0.14328332245349884 | 2.302503824234009,-0.03917061537504196,7.151365571189672e-05 | 0,0
210 | 7.000000365078449 | 161.32276916503906,191.6488037109375,0.2576935589313507 | 2.659832000732422,-0.03369786590337753,-5.7210922221884175e-08 | 90.7 | 0.0002676676376722753,0.0021233251318335533,0.013314980082213879 | 2.7817509174346924,-0.03341931477189064,-2.002382097998634e-05 | 0,0
251 | 8.366667103022337 | 164.39913940429688,191.6114959716797,0.2580609917640686 | 2.4931180477142334,-0.027017759159207344,2.6507727852731477e-06 | 90.6 | 0.0007169885793700814,0.08461061865091324,0.07447846233844757 | -0.04163503274321556,0.009564756415784359,8.696059376234189e-05 | 0,0
294 | 9.800000511109829 | 165.81185913085938,191.5969696044922,0.2583926022052765 | -1.5303292457247153e-05,2.9999006301295594e-07,8.772341288931784e-07 | 0 | -7.36065412638709e-05,-0.05259513482451439,-1.55519887812261e-06 | 6.452608067775145e-05,-5.110535639119007e-08,1.7163289385280223e-06 | 0,0
336 | 11.200000584125519 | 165.81190490722656,191.5969696044922,0.2582853138446808 | -5.5481567784454455e-08,-6.081822823134075e-10,-2.0977338976990723e-07 | 0 | -7.41992016628501e-06,-0.0001832517154980451,-5.6158140360196285e-09 | 4.1519850668692015e-08,-1.2826135709076425e-08,-2.4600696633569896e-05 | 0,0
376 | 12.533333986997604 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 1.0158686114536408e-09,1.736190080592337e-09,5.339686026673007e-07 | 0 | 8.94073036761256e-06,3.2954787911876338e-06,-2.5769128497721283e-10 | 8.828104114400048e-08,5.702599281676157e-08,5.72109183849534e-06 | 0,0
419 | 13.966667395085096 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 6.463454771399313e-10,-9.761489394577438e-10,-1.907030799941367e-08 | 0 | -3.860396645904984e-06,2.2410106339521008e-06,8.924547212352252e-11 | -1.3472555319624102e-12,-4.6692125721392586e-08,0.0 | 0,0
461 | 15.366667468100786 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 3.500267783951294e-12,-4.234386452584005e-11,0.0 | 0 | 2.3258469639131363e-07,-2.0535073641525514e-09,-2.050552219343138e-12 | 1.1993938064946974e-09,1.843766250786416e-09,0.0 | 0,0
503 | 16.766667541116476 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 2.9359636943837586e-09,-5.6590625518992965e-09,-7.628123199765469e-08 | 0 | 1.787076507753227e-05,7.823779924365226e-06,2.5588872687443143e-10 | -5.8043965189824576e-09,-3.4242313518006995e-07,-5.721092293242691e-07 | 0,0
542 | 18.06666760891676 | 165.81190490722656,191.5969696044922,0.2582843005657196 | -4.169349587801463e-10,6.173510591622744e-10,-9.535153111528416e-08 | 0 | 3.090238806180423e-06,-1.4877859939588234e-06,-4.233644337880982e-11 | 2.707329915807577e-09,1.3784322572263363e-09,0.0 | 0,0
584 | 19.46666768193245 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 3.208254495401519e-10,-1.4987656948850514e-11,0.0 | 0 | 1.9133017303829547e-07,9.718185083329445e-07,2.6437321082317666e-11 | 9.624763208648801e-09,-4.49629666832152e-10,0.0 | 0,0
625 | 20.833334419876337 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 6.028889609765997e-10,-5.605363950778042e-10,-1.907030799941367e-08 | 0 | -2.4165792638086714e-06,2.0659315396187594e-06,7.250864492158726e-11 | 9.394151428976372e-11,-1.2783076819289363e-08,-5.721092293242691e-07 | 0,0
667 | 22.233334492892027 | 165.81190490722656,191.5969696044922,0.2582843005657196 | -8.382090577185863e-10,-8.490546044015446e-09,0.0 | 0 | -9.031918324353683e-08,-4.853965833717666e-07,4.743039849763875e-10 | -2.2084849504722115e-08,-2.625252477628237e-07,0.0 | 0,0
706 | 23.53333456069231 | 165.81190490722656,191.5969696044922,0.2582843005657196 | 3.077137877838254e-09,6.1819473984314754e-09,5.7210922221884175e-08 | 0 | -1.2498258001869544e-05,8.158493983501103e-06,2.821201605662793e-11 | 1.1303117730676604e-07,1.6512251477251993e-07,4.004764377896208e-06 | 0,0
