Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1870 | 62.33333658427 | 99.5560073852539,191.62997436523438,0.2139665186405182 | 5.103445053100586,-0.004753496032208204,0.002150367945432663 | 90.1 | -0.0023926713038235903,-0.298305869102478,-0.046694882214069366 | 0.9433364272117615,-0.007475218269973993,-0.035868383944034576 | 0,0
1880 | 62.66666993498802 | 101.27240753173828,191.6284942626953,0.21402716636657715 | 5.055485248565674,-0.005323519464582205,-0.00010597369691822678 | 90.1 | 0.0023034687619656324,0.3363238275051117,-0.02555829845368862 | -0.8419131636619568,-0.0003134272701572627,-9.039336146088317e-05 | 0,0
1890 | 63.00000328570604 | 102.96729278564453,191.62661743164062,0.21368762850761414 | 5.208495140075684,-0.00556763494387269,0.0003322047705296427 | 90.1 | 0.02890712022781372,-0.256186842918396,-0.012990368530154228 | 0.7010650038719177,0.0751103013753891,-0.00864342413842678 | 0,0
1900 | 63.333336636424065 | 104.6729736328125,191.62440490722656,0.21430350840091705 | 5.0034260749816895,-0.0066136810928583145,-7.942782394820824e-05 | 90.1 | 0.0013908498222008348,0.17468731105327606,-0.021197492256760597 | -0.6924819350242615,-0.0006725219427607954,0.00026259824517183006 | 0,0
1910 | 63.666669987142086 | 106.3883285522461,191.62210083007812,0.21355952322483063 | 5.221115589141846,-0.007370367646217346,-3.8140615288284607e-06 | 90.1 | -0.00041906515252776444,0.06532160192728043,-0.017487050965428352 | -0.5591868758201599,0.0002795224718283862,-0.0027192351408302784 | 0,0
1920 | 64.00000333786011 | 108.08438110351562,191.6197967529297,0.21418491005897522 | 5.0332136154174805,-0.007383688353002071,0.002754152985289693 | 90.1 | 0.0005928531172685325,-0.10573210567235947,-0.0148752611130476 | 1.3612173795700073,-0.0031961731147021055,0.08456460386514664 | 0,0
1930 | 64.33333668857813 | 109.78604125976562,191.61721801757812,0.21406154334545135 | 5.054330825805664,-0.00775481341406703,-4.56352427136153e-05 | 90.1 | 0.0024529166985303164,0.12082935124635696,-0.009690655395388603 | -0.47853466868400574,0.0014835408655926585,-0.0005040281102992594 | 0,0
1940 | 64.66667003929615 | 111.48763275146484,191.61453247070312,0.21358813345432281 | 5.184814453125,-0.008182995952665806,0.00018269354768563062 | 90.1 | -0.0013711584033444524,0.028694970533251762,-0.004975929390639067 | -0.5156421065330505,-0.0001931190345203504,-0.004654107615351677 | 1,5
1950 | 65.00000339001417 | 112.99972534179688,191.61209106445312,0.217787504196167 | 2.9279885292053223,-0.004620798397809267,-0.002222510753199458 | 90.1 | 0.018794406205415726,3.3662405014038086,0.05509970337152481 | -13.660840034484863,0.021323295310139656,0.05390698462724686 | 1,5
1960 | 65.3333367407322 | 113.29558563232422,191.61155700683594,0.22302573919296265 | -0.004399943631142378,2.4852835849742405e-05,0.0009239754872396588 | 0 | -0.005635454785078764,-1.9405721426010132,0.00041690963553264737 | -0.039024803787469864,0.0011467649601399899,0.0011476535582914948 | 1,5
