Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.3333333507180214 | 150.24002075195312,191.77003479003906,0.554510772228241 | 0.0,0.0,-3.9118447303771973 | 0 | 0.0,0.0,0.0 | 0.0,0.0,-9.761688232421875 | 0,0
20 | 0.6666667014360428 | 150.23971557617188,191.7680206298828,0.17412185668945312 | -5.389799298427533e-06,0.004233399871736765,0.15949414670467377 | 0 | -0.8060041666030884,-0.0398460291326046,-0.00026468667783774436 | -0.00026136302039958537,0.05273550748825073,-0.27439039945602417 | 0,0
30 | 1.0000000521540642 | 150.2399139404297,191.76792907714844,0.2031058818101883 | -1.2907553355034906e-05,0.00322456075809896,0.04971619322896004 | 0 | -0.513353168964386,-0.08329214155673981,-0.00016427962691523135 | 3.987821037299e-05,-0.013248708099126816,-0.2597833275794983 | 0,0
40 | 1.3333334028720856 | 150.24000549316406,191.76795959472656,0.21053451299667358 | -2.6311129204259487e-06,0.0006804515141993761,0.008364846929907799 | 0 | -0.10524969547986984,-0.016863331198692322,-7.175657628977206e-06 | 1.740378502290696e-05,-0.003728715470060706,-0.052059076726436615 | 0,0
50 | 1.666666753590107 | 150.24002075195312,191.76788330078125,0.21148249506950378 | -5.776400371360069e-07,-1.200623682962032e-05,0.00183181744068861 | 0 | -0.026769645512104034,-0.0029089434538036585,4.0033296500041615e-07 | 1.6141301557581755e-06,3.3584117772988975e-05,-0.005743405316025019 | 0,0
60 | 2.0000001043081284 | 150.24002075195312,191.7678680419922,0.21176959574222565 | -1.350558989088313e-07,-2.921100758612738e-06,0.0004410008550621569 | 0 | -0.006663912907242775,-0.0006740523967891932,5.489388854584831e-08 | 2.867824093755189e-07,3.985591774835484e-06,-0.0009107976220548153 | 0,0
70 | 2.3333334550261497 | 150.24002075195312,191.7678680419922,0.21184185147285461 | -2.987504998941404e-08,-6.425040623980749e-07,0.00010296058462699875 | 0 | -0.0016256513772532344,-0.0001490699069108814,1.3284927824486203e-08 | -1.1899893337385947e-07,-1.8791529328154866e-06,0.00013387338549364358 | 0,0
80 | 2.666666805744171 | 150.65621948242188,191.76681518554688,0.21114212274551392 | 3.0070178508758545,-0.010872786864638329,3.333489803480916e-05 | 90.2 | -0.00352298840880394,-0.2889658808708191,-0.28025031089782715 | 9.235088348388672,-0.045860182493925095,-0.00014245513011701405 | 0,0
90 | 3.0000001564621925 | 151.86044311523438,191.7619171142578,0.21105265617370605 | 4.664187431335449,-0.030199486762285233,7.094154625519877e-06 | 90.4 | -0.002676424104720354,0.11691857129335403,-0.5460364818572998 | 3.5056397914886475,-0.08398862183094025,-8.46721522975713e-05 | 0,0
100 | 3.333333507180214 | 153.72056579589844,191.74659729003906,0.212446928024292 | 5.208024978637695,-0.04490635171532631,-0.0009296393254771829 | 90.5 | 0.016797468066215515,0.15740662813186646,-0.11459829658269882 | -0.6540583968162537,-0.3037527799606323,-0.012667641043663025 | 0,0
110 | 3.6666668578982353 | 155.2268829345703,191.73245239257812,0.21157756447792053 | 4.9431047439575195,-0.05119724199175835,-0.000913029070943594 | 90.6 | 0.0012562863994389772,0.02993721514940262,-0.22069600224494934 | -0.1945924609899521,0.009785703383386135,0.03290371596813202 | 0,0
120 | 4.000000208616257 | 156.86801147460938,191.71302795410156,0.21173328161239624 | 4.910665035247803,-0.06232813373208046,0.0006867408519610763 | 90.7 | 0.0033574088010936975,-0.004550700541585684,-0.26185280084609985 | -0.021028516814112663,0.02722296677529812,-0.001902835094369948 | 0,0
130 | 4.333333559334278 | 158.64857482910156,191.6907196044922,0.21191103756427765 | 4.495312213897705,-0.05797332525253296,0.0001367531658615917 | 90.7 | 0.002072038361802697,0.12656529247760773,-0.09469034522771835 | -5.711588382720947,0.05373134836554527,-0.0007300113211385906 | 0,0
140 | 4.6666669100522995 | 159.62484741210938,191.67843627929688,0.21261340379714966 | 1.3820551633834839,-0.017224153503775597,1.9718696421477944e-05 | 90.7 | 0.002306889509782195,0.17338907718658447,0.0024713792372494936 | -8.917418479919434,0.11668374389410019,-0.00014474366616923362 | 0,0
