Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
128 | 4.266666889190674 | 103.83685302734375,191.63751220703125,0.2149844765663147 | 5.031683444976807,-0.060216739773750305,-9.239563223673031e-05 | 90.7 | 0.0024803669657558203,0.3147287666797638,0.09918773174285889 | -0.9450816512107849,0.019599122926592827,-0.0009222397929988801 | 0,0
168 | 5.600000292062759 | 110.59166717529297,191.56739807128906,0.21508730947971344 | 5.08109188079834,-0.03708992898464203,0.0011310599511489272 | 90.4 | 0.005697119049727917,-0.3067017197608948,0.2565958499908447 | 0.8209418654441833,0.016977598890662193,-0.01914677582681179 | 0,0
211 | 7.033333700150251 | 113.58257293701172,191.54884338378906,0.21601669490337372 | -0.002916983561590314,-2.5817560526775196e-05,4.5787808630848303e-05 | 0 | 0.008456656709313393,-0.7373484373092651,-1.5126744074223097e-05 | 0.01490652933716774,0.00012189365224912763,-0.0007265785825438797 | 1,5
253 | 8.433333773165941 | 113.58350372314453,191.54884338378906,0.21457141637802124 | -9.573459465173073e-06,-6.508585670417233e-08,-2.002382188948104e-06 | 0 | 2.0075107386219315e-05,-0.0023799624759703875,-7.663071244223829e-08 | 3.0848674214212224e-05,-1.5918134295134223e-06,8.009532393771224e-06 | 1,5
295 | 9.833333846181631 | 113.58351135253906,191.54884338378906,0.2145656943321228 | -9.878332818402669e-09,1.2712126906677668e-09,-1.907030799941367e-08 | 0 | -3.2073359079731745e-07,-2.428922698527458e-06,-1.5016513588150815e-09 | 1.2963815834154957e-06,2.7559458430914674e-06,2.4028584448387846e-05 | 1,5
334 | 11.133333913981915 | 113.58351135253906,191.54884338378906,0.2145656943321228 | -2.8416882180692937e-09,9.808988066239976e-10,-7.628123199765469e-08 | 0 | -2.4595507852609444e-07,-7.052525461404002e-07,-6.336642321969066e-10 | -3.036680240597889e-08,3.0231213088427467e-08,-1.1442184586485382e-06 | 1,5
377 | 12.566667322069407 | 113.58351135253906,191.54884338378906,0.2145656943321228 | 1.7107532057636377e-09,2.7983699801836792e-09,-3.8140612446113664e-07 | 0 | -7.865365887482767e-07,4.2703996427917446e-07,-1.8232151344221847e-09 | -6.718715361841987e-09,5.204300634886749e-08,-1.1442178902143496e-06 | 1,5
419 | 13.966667395085096 | 113.58351135253906,191.54884338378906,0.2145656943321228 | -1.1444711281102804e-12,-1.2144678596115455e-09,-5.911795142310439e-07 | 0 | 4.216654758693039e-07,-1.329811594175112e-09,1.0083059942544992e-09 | -6.697948862210978e-09,5.2252872251301596e-08,-1.1442186860222137e-06 | 1,5
461 | 15.366667468100786 | 113.58351135253906,191.54884338378906,0.2145656943321228 | 1.1376337649693369e-09,8.840348453276192e-10,-1.9070306223056832e-07 | 0 | -2.101911320551153e-07,2.831907295330893e-07,-4.684169718771614e-10 | -6.712473687997544e-09,5.205870579061411e-08,-1.1442178902143496e-06 | 1,5
502 | 16.733334206044674 | 113.61702728271484,191.549072265625,0.21345938742160797 | 0.373081237077713,-0.0017813232261687517,-2.6183532099821605e-05 | 0 | 0.008245725184679031,-0.832789957523346,-0.30770620703697205 | 2.2844650745391846,0.0016568227438256145,-0.00029635257669724524 | 0,0
545 | 18.166667614132166 | 117.22075653076172,191.53704833984375,0.21092838048934937 | 4.2411580085754395,0.0006524265627376735,8.276513653981965e-06 | 90.0 | 0.013491963967680931,0.09125834703445435,0.390531450510025 | 2.0319840908050537,0.03442225605249405,6.97973373462446e-05 | 0,0
587 | 19.566667687147856 | 123.92487335205078,191.5548553466797,0.21468216180801392 | 4.795713901519775,0.026184534654021263,-1.735397972879582e-06 | 89.7 | -0.0030636389274150133,-0.05730537697672844,0.15663960576057434 | 0.0149345388635993,0.0221711378544569,2.1740150259574875e-05 | 0,0
625 | 20.833334419876337 | 129.59503173828125,192.4166717529297,0.2174278199672699 | 2.8173375129699707,3.5000948905944824,-0.0017507686279714108 | 38.8 | -0.27002352476119995,-0.6094006299972534,63.93088150024414 | -2.619158983230591,4.188894748687744,0.03434829041361809 | 0,0
666 | 22.200001157820225 | 132.07400512695312,197.47030639648438,0.22271792590618134 | 0.1457526683807373,2.2220942974090576,3.198090780642815e-05 | 3.8 | -0.421256422996521,-1.7007859945297241,10.59858512878418 | -0.5694387555122375,-2.663562059402466,-0.002778734313324094 | 0,0
707 | 23.566667895764112 | 132.3103790283203,200.77651977539062,0.21248272061347961 | 0.019712483510375023,2.802975654602051,-5.3835476137464866e-05 | 0.4 | 0.7872722744941711,0.3466280400753021,5.082252025604248 | -0.41260144114494324,2.3084876537323,-0.00012815241643693298 | 0,0
748 | 24.933334633708 | 132.3273162841797,203.9241943359375,0.2121833711862564 | -0.05013396590948105,2.7465837001800537,6.918707367731258e-05 | 359.0 | -1.7368757724761963,-0.04784959554672241,1.8937654495239258 | -0.14403651654720306,-3.9007041454315186,0.000980595126748085 | 0,0
786 | 26.20000136643648 | 132.3216552734375,204.476318359375,0.2147999107837677 | 1.2702884305326734e-05,-0.00018608159734867513,-2.7270539249002468e-06 | 0 | 0.04627959430217743,0.0035812617279589176,-8.026784598769154e-06 | 8.486545266350731e-05,-0.001628731144592166,-1.7163255279228906e-06 | 0,0
827 | 27.56666810438037 | 132.32164001464844,204.47653198242188,0.21456657350063324 | 2.5970510364459187e-07,-2.4392975319642574e-06,-5.14898317760526e-07 | 0 | 0.0006058294675312936,7.880612974986434e-05,-1.7613134062344216e-08 | -5.709651759389089e-06,-5.107448828312044e-07,2.2884357804286992e-06 | 0,0
868 | 28.933334842324257 | 132.32164001464844,204.47653198242188,0.21456550061702728 | -6.686951081746884e-08,-5.64047013540403e-08,-8.581638439864037e-07 | 0 | 1.3884969121136237e-05,-1.5534631529590115e-05,-4.0918269661460727e-08 | -3.318603376101237e-06,-1.5608644616804668e-06,6.865308932901826e-06 | 0,0
909 | 30.300001580268145 | 132.32164001464844,204.47653198242188,0.21456550061702728 | 8.129170253612372e-11,-9.85971637668115e-10,-1.6400463209720328e-06 | 0 | 2.4837163437041454e-07,-5.63218307547686e-08,-2.360057427264195e-10 | 7.274850588601112e-08,8.202819401503803e-08,-3.432654466450913e-06 | 0,0
949 | 31.63333498314023 | 132.32164001464844,204.47653198242188,0.21456550061702728 | -4.369137496240683e-09,-3.1967473113070355e-09,-3.0512492799061874e-07 | 0 | 7.909340524747677e-07,-1.2496876706791227e-06,-3.2068228073001137e-09 | -6.249019435244918e-08,-4.781985296631319e-08,-4.576873834594153e-06 | 0,0
990 | 33.00000172108412 | 132.32164001464844,204.47621154785156,0.2145921289920807 | 0.0002589879441075027,-0.01916712149977684,-4.767576911035576e-07 | 0 | -0.14583280682563782,-0.007560098543763161,-0.005391945596784353 | 0.007769425865262747,-0.5750136375427246,6.293200385698583e-06 | 0,0
1032 | 34.40000179409981 | 132.28846740722656,206.60415649414062,0.21074862778186798 | -0.06697172671556473,3.2082631587982178,4.8171597882173955e-05 | 358.8 | -0.956904947757721,-0.05303559452295303,0.6738480925559998 | 0.07626458257436752,-1.071395754814148,0.0004136349889449775 | 0,0
1073 | 35.766668532043695 | 132.2281951904297,209.7258758544922,0.21457763016223907 | -0.04739901050925255,2.4060940742492676,0.00010158753138966858 | 358.9 | -2.0124192237854004,-0.07753459364175797,0.02987666055560112 | 0.09287349134683609,-3.153548002243042,-0.00023456470808014274 | 0,0
1111 | 37.03333526477218 | 132.14634704589844,213.93443298339844,0.2150014042854309 | -0.06630291789770126,3.482222318649292,9.003092418424785e-05 | 358.9 | -2.3185770511627197,-0.060681331902742386,-0.0636812150478363 | 0.08601530641317368,-4.979753017425537,-0.00022712707868777215 | 0,0
1151 | 38.36666866764426 | 132.06442260742188,219.25665283203125,0.2133973240852356 | -0.04291664436459541,4.640100955963135,2.1549445591517724e-05 | 359.5 | -0.38671812415122986,0.0032135131768882275,-0.5191567540168762 | 0.05496035888791084,-0.013661383651196957,-0.00012758040975313634 | 0,0
1191 | 39.70000207051635 | 132.04295349121094,225.23291015625,0.21425406634807587 | 0.012721826322376728,4.4422125816345215,-6.979732461331878e-06 | 0.2 | 0.21619929373264313,0.0013428139500319958,-0.417906790971756 | 0.06177881360054016,0.43729302287101746,3.3754429750842974e-05 | 0,0
9823 | 327.4333504103124 | 99.3815689086914,191.5774688720703,0.21528469026088715 | 5.045339584350586,-0.01606585457921028,-1.4398081475519575e-05 | 90.2 | 0.0012310537276789546,0.02221452258527279,0.012319249100983143 | -0.10861872881650925,0.0026310232933610678,2.1168041712371632e-05 | 0,0
9862 | 328.7333504781127 | 106.04014587402344,191.5597381591797,0.21483829617500305 | 5.179606914520264,-0.009325400926172733,1.1442184586485382e-06 | 90.1 | 0.0006876169936731458,0.07844129949808121,0.06809257715940475 | -0.006294250022619963,0.007414351683109999,-5.835513729834929e-05 | 0,0
9902 | 330.0666838809848 | 112.77205657958984,191.55352783203125,0.2199980467557907 | 3.192079782485962,0.0016898001777008176,-0.00301751377992332 | 90.0 | -0.032615598291158676,4.575604438781738,0.01375079620629549 | -13.490459442138672,0.0016983655514195561,0.06401672214269638 | 1,5
9943 | 331.43335061892867 | 113.1357421875,191.55393981933594,0.21472454071044922 | -0.00024885748280212283,-1.9986276811323478e-07,-7.494630608562147e-06 | 0 | 3.596619353629649e-05,-0.061961472034454346,-2.39153951042681e-06 | 0.0006153975264169276,-6.6031539063260425e-06,-6.979732279432938e-05 | 1,5
9985 | 332.83335069194436 | 113.1358871459961,191.55393981933594,0.21456576883792877 | -1.6082886986623635e-06,-8.600378009759879e-08,-1.6781871181592578e-06 | 0 | 2.1658819605363533e-05,-0.0003998545871581882,3.62264529485401e-08 | 7.568565251858672e-06,3.3884126082739385e-07,2.86054591924767e-06 | 1,5
10024 | 334.13335075974464 | 113.1358871459961,191.55393981933594,0.2145647406578064 | -2.2988300152348984e-09,4.07007788583158e-10,-3.814061599882734e-08 | 0 | -1.0282663964744643e-07,-5.651961032526742e-07,-4.20493362351948e-10 | 7.958598757795698e-07,4.024731879326282e-06,1.7735384972183965e-05 | 1,5
10066 | 335.53335083276033 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 1.4694890859701104e-09,7.52650053392756e-10,-5.7210922221884175e-08 | 0 | -2.6415727916173637e-07,3.669018724394846e-07,-6.448523937052641e-10 | -1.0475726064385071e-08,-2.0161337488389108e-08,-1.1442183449617005e-06 | 1,5
10108 | 336.933350905776 | 113.1358871459961,191.55393981933594,0.2145647406578064 | -2.052181979905754e-09,-3.7884531067788885e-09,-3.2419524131910293e-07 | 0 | 1.095336529033375e-06,-5.100733915242017e-07,2.5089914590381568e-09 | -3.405563475666895e-08,-4.1693979824231064e-08,-2.2884373720444273e-06 | 1,5
10150 | 338.3333509787917 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 6.837717614338601e-10,5.559251392561748e-10,-1.907030799941367e-08 | 0 | -1.561047326958942e-07,1.6953173087586038e-07,-3.402322035217509e-10 | 1.3629530393188816e-08,1.0561069352377217e-08,0.0 | 1,5
10190 | 339.6666843816638 | 113.1358871459961,191.55393981933594,0.2145647406578064 | -7.2151169483447575e-09,6.2574234682699625e-09,-1.9070306223056832e-07 | 0 | -4.084696172412805e-07,-1.6944874232649454e-06,-3.7559853005575405e-09 | 1.094338017537666e-06,-3.0444668936979724e-06,-1.2014292224193923e-05 | 1,5
10232 | 341.0666844546795 | 113.1358871459961,191.55393981933594,0.2145647406578064 | -1.2255500780877782e-10,-1.5301429012737344e-09,-2.0977338976990723e-07 | 0 | 4.156588886417012e-07,-2.9631088693804486e-08,9.271088896589674e-10 | -3.40745138771581e-08,-4.172420275949662e-08,-2.2884369172970764e-06 | 1,5
10273 | 342.4333511926234 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 6.84500733871829e-10,-1.0052267906957013e-09,-2.479139880051662e-07 | 0 | 3.138504212074622e-07,1.6898572141599288e-07,7.720710182290702e-10 | 1.3629565032147184e-08,1.0442133380195173e-08,0.0 | 1,5
10313 | 343.76668459549546 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 9.108787613065772e-10,7.297810689088635e-10,-1.907030799941367e-08 | 0 | -2.0840437287006353e-07,2.2603430238632427e-07,-4.6079406956778257e-10 | 1.3626522132881291e-08,1.0445145193216376e-08,0.0 | 1,5
10353 | 345.10001799836755 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 1.2426950579680351e-09,5.790145585216067e-10,-5.7210922221884175e-08 | 0 | -2.119028437164161e-07,3.1047684956320154e-07,-5.243151468548035e-10 | -1.0472632538949256e-08,-2.015976718894308e-08,-1.1442183449617005e-06 | 1,5
10394 | 346.46668473631144 | 113.1358871459961,191.55393981933594,0.2145647406578064 | -1.1337304428593598e-09,-2.401005172458781e-09,-2.479139880051662e-07 | 0 | 7.329638833653007e-07,-2.8337677804302075e-07,1.7363275262027855e-09 | 1.3890421257656271e-08,1.554303885598074e-08,0.0 | 1,5
10434 | 347.8000181391835 | 113.1358871459961,191.55393981933594,0.2145647406578064 | -8.053086530956932e-10,-2.5734590014536707e-09,-2.8605461466213455e-07 | 0 | 7.296733883777051e-07,-1.9973813891738246e-07,1.6608323605282749e-09 | -3.406820425766455e-08,-4.170465217612218e-08,-2.288436689923401e-06 | 1,5
10472 | 349.066684871912 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 1.0233659475389345e-09,-4.857824142945333e-10,-2.0977338976990723e-07 | 0 | 1.5750832460525999e-07,2.5341435616610397e-07,4.067459702383758e-10 | 1.3623282058006225e-08,1.0437784858652321e-08,0.0 | 1,5
10513 | 350.4333516098559 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 9.108787613065772e-10,7.297810689088635e-10,-1.907030799941367e-08 | 0 | -2.0840437287006353e-07,2.2603430238632427e-07,-4.6079506876850473e-10 | 1.3626522132881291e-08,1.0445144305037957e-08,0.0 | 1,5
10553 | 351.766685012728 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 2.045577263132259e-09,1.5983556700405188e-09,-1.907030799941367e-08 | 0 | -4.6979309331618424e-07,5.083398377792037e-07,-1.0637205560826146e-09 | 1.3613832727799036e-08,1.042046360311133e-08,0.0 | 1,5
10592 | 353.06668508052826 | 113.1358871459961,191.55393981933594,0.2145647406578064 | 3.3330221915761626e-10,-6.599429891451791e-10,-1.3349215066682518e-07 | 0 | 1.53859332385764e-07,8.402562201581532e-08,3.142008875300917e-10 | -3.408560544926331e-08,-4.237779194227187e-08,-2.288436689923401e-06 | 0,0
