Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
8160 | 272.00001418590546 | 168.73245239257812,187.60841369628906,0.18068450689315796 | -2.8042757511138916,0.04556391015648842,-5.11656362505164e-05 | 270.9 | 0.01874581351876259,1.1218907833099365,0.01052851788699627 | -2.3188302516937256,0.039208974689245224,-0.00037816425901837647 | 0,0
8170 | 272.3333475366235 | 167.8241729736328,187.62298583984375,0.18499183654785156 | -2.0691444873809814,0.03231365606188774,5.034561036154628e-05 | 270.9 | -0.06150699034333229,-3.716549873352051,0.04011660814285278 | 5.911552429199219,-0.09901396185159683,-0.0009554222924634814 | 0,0
8180 | 272.6666808873415 | 167.1792755126953,187.63296508789062,0.18561477959156036 | -2.1549296379089355,0.03219025954604149,7.610959437442943e-05 | 270.9 | 0.028659624978899956,1.995378017425537,0.060370732098817825 | -2.5217554569244385,0.030275097116827965,0.0002791891747619957 | 0,0
8190 | 273.0000142380595 | 166.31396484375,187.6457977294922,0.17997856438159943 | -2.948296546936035,0.04122477397322655,-6.449577631428838e-05 | 270.8 | 0.004839435685425997,0.8303073048591614,0.12195419520139694 | -2.293245553970337,0.01611180417239666,-9.325368591817096e-05 | 0,0
8200 | 273.33334758877754 | 165.41876220703125,187.65814208984375,0.18641318380832672 | -1.898629069328308,0.02307644486427307,-7.322998044401174e-06 | 270.7 | -0.04607202112674713,-3.8641698360443115,0.13417863845825195 | 6.201621055603027,-0.09134016185998917,-0.0018942534225061536 | 0,0
8210 | 273.66668093949556 | 164.84017944335938,187.66525268554688,0.18641532957553864 | -1.9315168857574463,0.021366897970438004,0.00012065783812431619 | 270.6 | 0.02681005373597145,2.2015461921691895,0.15092742443084717 | -2.3761472702026367,0.03001553751528263,0.0005017397925257683 | 0,0
8220 | 274.0000142902136 | 164.03298950195312,187.67420959472656,0.17985686659812927 | -2.7949860095977783,0.026065878570079803,-6.985454092500731e-05 | 270.5 | -0.011075899004936218,0.9310198426246643,0.26583006978034973 | -2.3732683658599854,-0.013218707405030727,-0.00015961870667524636 | 0,0
8230 | 274.3333476409316 | 162.96652221679688,187.6841583251953,0.17855048179626465 | -3.5473670959472656,0.02533189207315445,-1.2452910596039146e-05 | 270.4 | -0.014981845393776894,0.04571685940027237,0.38078543543815613 | -2.1796557903289795,-0.01310041081160307,0.0003026457270607352 | 0,0
8240 | 274.6666809916496 | 161.7281494140625,187.6927490234375,0.18189041316509247 | -3.3794260025024414,0.014296459965407848,0.00013799274165648967 | 270.2 | -0.023175222799181938,-3.3345930576324463,0.4209118187427521 | 5.7577223777771,-0.07434895634651184,0.0006670794100500643 | 0,0
8250 | 275.00001434236765 | 160.8565673828125,187.69679260253906,0.18869781494140625 | -2.5067508220672607,0.005492535885423422,1.764003354765009e-05 | 270.1 | 0.01343423593789339,1.3519697189331055,0.31191709637641907 | -1.1873172521591187,0.016423765569925308,0.001818163087591529 | 0,0
