Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
9621 | 320.7000167258084 | 165.86671447753906,187.44107055664062,0.20699501037597656 | -3.281789779663086,-0.003477689577266574,-2.0214527012285544e-06 | 269.9 | -0.001590020372532308,-0.05188235640525818,-1.3249890804290771 | -2.9829952716827393,0.050418589264154434,-2.8605493298528017e-06 | 0,0
9662 | 322.06668346375227 | 162.91131591796875,187.44908142089844,0.2056957185268402 | -1.019697904586792,0.008648728020489216,1.2777105666827993e-06 | 270.5 | -0.0042762188240885735,-0.38723358511924744,-0.16587917506694794 | -7.119533538818359,0.05218835175037384,-9.439801215194166e-05 | 0,0
9701 | 323.36668353155255 | 160.7183837890625,187.46945190429688,0.20604918897151947 | 0.00010877767635975033,-3.2784515497041866e-05,-3.165670932503417e-06 | 0 | 0.002174879191443324,-0.2688390612602234,3.663594952740823e-06 | -0.00031115260208025575,5.1065759180346504e-05,5.835513729834929e-05 | 0,0
9742 | 324.73335026949644 | 160.71873474121094,187.46945190429688,0.20663195848464966 | 2.2245467334869318e-07,7.892125286623752e-10,1.1442184444376835e-07 | 0 | 4.616653313860297e-06,-0.0006134907016530633,-1.0415705631316996e-08 | -1.840223376348149e-05,-9.813443284656387e-07,1.5446947145392187e-05 | 0,0
9782 | 326.0666836723685 | 160.71873474121094,187.46945190429688,0.2066354751586914 | 2.455647907240177e-09,1.7079688774401802e-08,-3.814061599882734e-08 | 0 | 1.927261291712057e-05,-6.124639639892848e-06,5.733341268410186e-08 | -1.1423360035678343e-07,4.851252128901251e-07,-4.004764377896208e-06 | 0,0
9823 | 327.4333504103124 | 160.71873474121094,187.46945190429688,0.2066354751586914 | 3.1344511430830835e-09,-2.2395520993256923e-09,1.3349215066682518e-07 | 0 | -9.675954970589373e-07,-7.48600859878934e-06,-4.167012068734266e-09 | 1.6189028428925667e-07,1.2023301110275497e-07,4.576873834594153e-06 | 0,0
9862 | 328.7333504781127 | 160.71873474121094,187.46945190429688,0.2066354751586914 | -8.878566770675889e-10,2.3128501336344698e-09,0.0 | 0 | 2.533776751079131e-06,2.1018784082116326e-06,7.808237612039193e-09 | -3.3486395878412623e-09,9.106162046634836e-09,0.0 | 0,0
9902 | 330.0666838809848 | 160.71873474121094,187.46945190429688,0.2066354751586914 | 3.7118344509146084e-10,-2.4983187740801327e-10,0.0 | 0 | -1.4063542153053277e-07,-8.507094548804162e-07,-5.585980011879599e-10 | -3.379482249599164e-09,9.14035958032855e-09,0.0 | 0,0
9943 | 331.43335061892867 | 160.71873474121094,187.46945190429688,0.2066354751586914 | 2.413475530538278e-10,-3.3417238420874185e-10,0.0 | 0 | -4.7242156142601743e-07,-5.941059839642548e-07,-1.4222495403615198e-09 | 5.063829799922814e-09,-8.63332161316066e-09,0.0 | 0,0
9985 | 332.83335069194436 | 160.71873474121094,187.46945190429688,0.2066354751586914 | -4.0305009330054986e-10,1.333898991262572e-09,0.0 | 0 | 1.2686318768828642e-06,9.180505458061816e-07,3.987960628393239e-09 | 4.489969729348786e-09,-2.037549906575009e-09,0.0 | 0,0
10024 | 334.13335075974464 | 160.71873474121094,187.46945190429688,0.2066354751586914 | -1.508320968124366e-10,8.591843347893757e-10,0.0 | 0 | 7.980602845236717e-07,3.2713043651710905e-07,2.4975539414384684e-09 | 2.6745519687843e-10,6.331764890177283e-09,0.0 | 0,0
10066 | 335.53335083276033 | 160.71873474121094,187.46945190429688,0.2066354751586914 | 4.629416641699358e-12,-4.5351583599639866e-10,0.0 | 0 | -8.072869945863204e-07,3.877107523919676e-09,-2.3106083713031467e-09 | -1.2174117269836415e-09,-1.8754485964223022e-08,0.0 | 0,0
10108 | 336.933350905776 | 160.71873474121094,187.46945190429688,0.2066354751586914 | -1.5309822853915023e-10,1.630264118146485e-10,0.0 | 0 | 4.6503757289428904e-08,3.3010300626301614e-07,2.3240351310072072e-10 | 4.510703810467476e-09,-1.3728805647872377e-08,0.0 | 0,0
10150 | 338.3333509787917 | 160.71873474121094,187.46945190429688,0.2066354751586914 | 3.1859156979230363e-10,-2.5705196304848243e-10,0.0 | 0 | -1.4764060551897273e-07,-7.27694441593485e-07,-5.691321303125108e-10 | -3.3739500082674567e-09,8.330666823042066e-09,0.0 | 0,0
10190 | 339.6666843816638 | 160.71873474121094,187.46945190429688,0.2066354751586914 | -1.828761447830729e-10,-3.576658136328348e-10,0.0 | 0 | -4.867841312261589e-07,3.981732277225092e-07,-1.3826226830104815e-09 | 4.484472793109262e-09,-2.0131436517800694e-09,0.0 | 0,0
10232 | 341.0666844546795 | 160.2887420654297,187.47470092773438,0.20718669891357422 | -1.9237089157104492,0.024510618299245834,-3.2038115023169667e-06 | 270.7 | -0.0007338486611843109,-0.014159193262457848,-0.20204433798789978 | -3.4877941608428955,0.08228033035993576,-7.609051681356505e-05 | 0,0
10273 | 342.4333511926234 | 157.40408325195312,187.51145935058594,0.20702093839645386 | -2.7826123237609863,0.03826402500271797,-1.3349215350899613e-06 | 270.8 | 0.0011236678110435605,-0.0496835932135582,-0.07484453916549683 | -3.1075499057769775,0.024810878559947014,3.833131631836295e-05 | 0,0
10313 | 343.76668459549546 | 153.25790405273438,187.56747436523438,0.2069905400276184 | -3.4405534267425537,0.046017635613679886,-1.0069122254208196e-05 | 270.8 | 0.005575188901275396,-0.3632202446460724,0.10729295760393143 | -6.4811177253723145,0.08439882844686508,8.58162729855394e-06 | 0,0
10353 | 345.10001799836755 | 146.788818359375,187.6492156982422,0.20634105801582336 | -4.936985492706299,0.056354355067014694,0.0009101113537326455 | 270.7 | 0.001448532217182219,0.0010363326873630285,0.15900206565856934 | 0.10246752947568893,-0.02597607485949993,0.002213491126894951 | 0,0
10394 | 346.46668473631144 | 140.73678588867188,187.71197509765625,0.20686110854148865 | -4.719964981079102,0.13619020581245422,1.163288743555313e-06 | 271.7 | -0.0992511585354805,0.003177487524226308,-2.551515817642212 | -0.9967517256736755,1.5417407751083374,4.6340843255165964e-05 | 0,0
10434 | 347.8000181391835 | 135.071044921875,189.91561889648438,0.2066599577665329 | -3.194939136505127,3.4433746337890625,5.530388875740755e-07 | 317.1 | -0.05687878280878067,0.04430790990591049,-33.035255432128906 | 2.029459238052368,2.0618603229522705,4.8629277443978935e-05 | 0,0
10472 | 349.066684871912 | 132.3101348876953,195.0946502685547,0.20665912330150604 | -0.7264958620071411,4.703242778778076,2.6698430133365036e-07 | 351.2 | 0.028101807460188866,-0.12369150668382645,-24.48508071899414 | 0.06425856798887253,0.18785475194454193,-1.1442186860222137e-06 | 0,0
10513 | 350.4333516098559 | 131.8653106689453,201.61497497558594,0.2066570222377777 | 0.09030163288116455,4.8080668449401855,3.2419524131910293e-07 | 1.1 | -0.001407622592523694,0.016171928495168686,-5.206655979156494 | 0.6656683683395386,0.0275802593678236,1.3730621503782459e-05 | 0,0
10553 | 351.766685012728 | 132.0177001953125,208.06356811523438,0.20665039122104645 | 0.1544138640165329,4.858425140380859,1.2777105666827993e-06 | 1.8 | -0.00014139668201096356,-0.0024182277265936136,-0.4329715669155121 | -0.01998424343764782,0.03783702477812767,5.320615309756249e-05 | 0,0
10592 | 353.06668508052826 | 132.2218780517578,214.41050720214844,0.20664745569229126 | 0.1298411637544632,4.905897617340088,-2.288436888875367e-07 | 1.5 | -0.00018615440058056265,-0.0013126811245456338,0.6671003103256226 | -0.04632040485739708,0.03873824700713158,5.148981927050045e-06 | 0,0
10630 | 354.33335181325674 | 132.2973175048828,218.9627227783203,0.2052714079618454 | -2.8732853024848737e-05,-0.0001543407270219177,-1.926101049321005e-06 | 0 | -0.42170262336730957,-0.004503193777054548,-3.1833083085075486e-06 | -0.0009988393867388368,-0.0007860884652473032,-1.3730621503782459e-05 | 1,3
10670 | 355.6666852161288 | 132.29733276367188,218.9619140625,0.2066258192062378 | 8.947706930939603e-08,-1.923193394759437e-06,-4.0047643778962083e-07 | 0 | -0.00447061425074935,-3.679207293316722e-05,7.191628128566663e-07 | 4.4790172637476644e-07,5.488904662342975e-06,-6.8653098423965275e-06 | 1,3
10711 | 357.0333519540727 | 132.29733276367188,218.9619140625,0.2066347450017929 | -3.338982423883863e-09,-1.4262742986659305e-08,-4.767576911035576e-07 | 0 | -3.701025343616493e-05,-3.497076249914244e-05,9.060666883442536e-08 | 1.112609425035771e-06,-2.4872460357983073e-07,-1.3730620594287757e-05 | 1,3
10751 | 358.3666853569448 | 132.29733276367188,218.9619140625,0.20663577318191528 | 0.0,0.0,0.0 | 0 | 0.0,0.0,0.0 | -4.919219804833119e-07,9.74390772512379e-08,1.0870074220292736e-05 | 1,3
10789 | 359.6333520896733 | 132.29733276367188,218.9619140625,0.20663577318191528 | -1.7301525490065472e-10,-2.5008845688789805e-11,-1.907030799941367e-08 | 0 | -6.223250181847106e-08,5.903474402657594e-07,-1.6235267574771228e-09 | 6.609873537399835e-08,4.1299998088106804e-08,2.0595931346178986e-05 | 1,3
10830 | 361.00001882761717 | 132.29733276367188,218.9619140625,0.20663577318191528 | -2.9164606840659246e-10,-3.706121780994165e-12,-3.0512492799061874e-07 | 0 | 3.6536309533374833e-09,4.3026139451285417e-07,-1.234717772469196e-09 | -9.415785484634398e-09,1.7255930018222898e-09,-2.2884369172970764e-06 | 1,3
10870 | 362.33335223048925 | 132.29733276367188,218.9619140625,0.20663577318191528 | -6.51531717466014e-10,-6.530261331683107e-10,-4.1954677953981445e-07 | 0 | -1.5172099665505812e-06,7.676545692447689e-07,-2.0965482683266146e-09 | 3.321969144209902e-09,-1.6944061709267544e-09,-2.2884373720444273e-06 | 1,3
10911 | 363.70001896843314 | 132.29733276367188,218.9619140625,0.20663577318191528 | 2.1639485758839783e-09,-1.8202382656706817e-10,-6.483904826382059e-07 | 0 | -4.1761575175769394e-07,-2.151594571841997e-06,6.602876023720228e-09 | 1.0945806927509238e-08,-2.255170272746909e-09,-2.2884373720444273e-06 | 1,3
10948 | 364.9333523660898 | 132.29733276367188,218.9619140625,0.20663577318191528 | 2.9899847042713645e-09,-5.63527724484203e-10,-5.530388875740755e-07 | 0 | -1.2830398645746754e-06,-3.8495736589538865e-06,1.1551625433980917e-08 | 7.348671005047436e-08,4.384079321795298e-09,-1.1442169807196478e-06 | 1,3
10988 | 366.2666857689619 | 132.29733276367188,218.9619140625,0.20663577318191528 | -2.007022992245311e-09,1.2892033274258807e-10,-5.911795142310439e-07 | 0 | 2.715415803322685e-07,1.9413228073972277e-06,-5.999060803674183e-09 | -2.6505473371685184e-08,-3.020709016254841e-09,-1.7163272332254564e-06 | 1,3
11029 | 367.6333525069058 | 132.29798889160156,219.16424560546875,0.20710784196853638 | -0.0020784963853657246,1.4272541999816895,-4.1382568269909825e-06 | 359.9 | -0.13837657868862152,-0.007048433180898428,0.48070624470710754 | -0.01871676743030548,4.33081579208374,3.146601011394523e-05 | 0,0
11069 | 368.9666859097779 | 132.27040100097656,223.71142578125,0.2067449539899826 | -0.05613991245627403,4.397746562957764,2.4791399937384995e-06 | 359.3 | 0.05778791382908821,0.0001716409024083987,0.5618602633476257 | -0.06036936864256859,-0.08809088915586472,-4.576874744088855e-06 | 0,0
