Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
10 | 0.3333333507180214 | 165.08883666992188,187.12013244628906,0.1953382045030594 | -0.00020318788301665336,-0.0013428737875074148,0.23938290774822235 | 0 | 0.20319534838199615,-0.12663905322551727,0.00018762807303573936 | -0.012535474263131618,-0.013655230402946472,-0.3553725481033325 | 0,0
20 | 0.6666667014360428 | 165.08963012695312,187.12008666992188,0.24361586570739746 | -0.00045347324339672923,-0.0006781546398997307,0.06482063978910446 | 0 | 0.07600545138120651,-0.3215917646884918,0.00021559596643783152 | 0.0017874145414680243,0.002712154993787408,-0.3463795483112335 | 0,0
30 | 1.0000000521540642 | 165.0900115966797,187.12014770507812,0.25396469235420227 | -8.796514885034412e-05,-0.00017850821313913912,0.010701245628297329 | 0 | 0.0203151386231184,-0.06337335705757141,2.5208988517988473e-05 | 0.0005464723217301071,0.0007822083425708115,-0.06709525734186172 | 0,0
40 | 1.3333334028720856 | 165.09007263183594,187.12017822265625,0.2553231120109558 | -1.243844599230215e-05,-3.7807590160809923e-06,0.0018680128268897533 | 0 | 0.006071318872272968,-0.009202507324516773,-6.060613031877438e-06 | 1.6620640963083133e-05,1.6703750588931143e-05,-0.0031614790204912424 | 0,0
50 | 1.666666753590107 | 165.09007263183594,187.1201934814453,0.2556607723236084 | -2.6385146156826522e-06,-1.1459901543275919e-06,0.00040976371383294463 | 0 | 0.0017677057767286897,-0.0019502813229337335,-1.1432869087002473e-06 | -7.25214658814366e-06,5.232829607848544e-06,0.0010606904979795218 | 0,0
60 | 2.0000001043081284 | 165.09007263183594,187.1201934814453,0.25575965642929077 | -3.2659272619639523e-07,-5.189596095078741e-07,4.918232298223302e-05 | 0 | 0.0003712062898557633,-0.00023150774359237403,-1.1825304291335215e-08 | 2.9188433472882025e-05,-3.7829763641639147e-06,-0.003963572904467583 | 0,0
70 | 2.3333334550261497 | 164.9051971435547,187.1257781982422,0.2536587119102478 | -1.6470947265625,0.0701555609703064,2.953990588139277e-05 | 272.4 | 0.08130398392677307,1.0724126100540161,-1.816576600074768 | -7.5951104164123535,0.35068249702453613,-0.0003329675237182528 | 0,0
80 | 2.666666805744171 | 163.97950744628906,187.16043090820312,0.252207487821579 | -3.636306047439575,0.19831401109695435,6.064357421564637e-06 | 273.1 | 0.027530059218406677,-0.09767132252454758,-3.666393280029297 | -4.663238048553467,0.4154781699180603,0.00012986877118237317 | 0,0
90 | 3.0000001564621925 | 162.54489135742188,187.24087524414062,0.25316372513771057 | -4.818751335144043,0.3804374933242798,1.6400465028709732e-05 | 274.5 | 0.02596896141767502,-0.30007365345954895,-4.949604511260986 | -2.8717658519744873,0.5297746658325195,4.9201415095012635e-05 | 0,0
100 | 3.333333507180214 | 160.80665588378906,187.36585998535156,0.25507107377052307 | -5.455156326293945,0.3480212986469269,-0.0011273793643340468 | 273.7 | 0.18034113943576813,-0.3859596252441406,0.19824783504009247 | -1.2426565885543823,0.44130203127861023,-0.006100399419665337 | 0,0
110 | 3.6666668578982353 | 158.9506072998047,187.48667907714844,0.2558456063270569 | -5.506640911102295,0.3577892482280731,-0.00045587567728944123 | 273.7 | -0.023274455219507217,-0.43323802947998047,-1.3622157573699951 | 1.0468052625656128,-0.1185116097331047,0.0023136103991419077 | 0,0
120 | 4.000000208616257 | 157.16940307617188,187.59768676757812,0.25666579604148865 | -5.169160842895508,0.2926243245601654,-9.136584412772208e-05 | 273.2 | -0.0649033784866333,-0.17127983272075653,-0.45415398478507996 | 0.7500171065330505,-0.3280859887599945,0.0003644333337433636 | 0,0
130 | 4.333333559334278 | 155.45989990234375,187.68551635742188,0.2565271556377411 | -5.068114280700684,0.20053566992282867,-1.5103682926564943e-05 | 272.3 | -0.026839938014745712,-0.01938931830227375,1.0088603496551514 | 0.3602456748485565,-0.2873266935348511,0.0001384503993904218 | 1,7
140 | 4.6666669100522995 | 154.28143310546875,187.73773193359375,0.25991591811180115 | -1.6145782470703125,0.021204687654972076,0.0007826072396710515 | 270.8 | 0.10837926715612411,-1.3846535682678223,3.804867744445801 | 12.56313705444336,-0.26609206199645996,0.009098824113607407 | 1,7
150 | 5.000000260770321 | 154.1894073486328,187.7416229248047,0.25970810651779175 | 0.0016102902591228485,3.9580259908689186e-05,0.0006002760492265224 | 0 | 0.012739745900034904,1.3547897338867188,0.00044178948155604303 | 0.0008285650401376188,-0.00043883026228286326,-0.0020796163007616997 | 1,7
160 | 5.333333611488342 | 154.18763732910156,187.74163818359375,0.25659918785095215 | 0.000587914721108973,-5.171676548343385e-06,0.00011022637045243755 | 0 | 0.004762417171150446,0.4456024765968323,-0.00010925342940026894 | -0.0028870399110019207,0.0003430313372518867,-0.000748319027479738 | 1,7
170 | 5.666666962206364 | 154.18728637695312,187.74163818359375,0.25598591566085815 | 8.530114428140223e-05,-3.8935792190386564e-07,1.4340871530293953e-05 | 0 | 0.00011900006211362779,0.06309837102890015,-1.6347876226063818e-05 | 5.198220242164098e-05,4.454838347101031e-07,0.00010126334382221103 | 1,7
180 | 6.000000312924385 | 154.1872100830078,187.74163818359375,0.2558475136756897 | 1.4264232959249057e-05,4.34667697390978e-08,8.390935590796289e-07 | 0 | -9.438652341486886e-05,0.01044611819088459,-2.4271093934657983e-06 | 0.00013338281132746488,-2.381279273322434e-06,2.2312258806778118e-05 | 1,7
190 | 6.3333336636424065 | 154.1871795654297,187.74163818359375,0.2558090388774872 | 9.193143341690302e-06,2.5137405046393724e-08,-1.4302730733106728e-06 | 0 | -3.619046401581727e-05,0.006782989948987961,-1.8914070096798241e-06 | -4.030923082609661e-05,-2.0507013687165454e-07,-2.6317024094169028e-05 | 1,7
200 | 6.666667014360428 | 154.18716430664062,187.74163818359375,0.2558002769947052 | 2.758530172286555e-06,-4.489141147701048e-08,2.040522986135329e-06 | 0 | 3.753822238650173e-05,0.0020328559912741184,-5.586244355981762e-07 | -9.450411198486108e-06,-4.824695679417346e-06,2.9749680834356695e-05 | 1,7
210 | 7.000000365078449 | 154.18716430664062,187.74163818359375,0.25579798221588135 | 7.655013973817404e-07,-5.2693629015720944e-08,-9.7258566711389e-07 | 0 | 9.281770871893968e-06,0.0005642466712743044,-1.5933612473872927e-07 | -1.2205616712890333e-06,-8.084459750534734e-07,4.348030051914975e-05 | 1,7
220 | 7.333333715796471 | 154.18716430664062,187.74163818359375,0.2557968497276306 | 1.8886302655118925e-07,9.778505472013421e-08,1.926101049321005e-06 | 0 | -3.659467984107323e-05,0.00013782325549982488,-2.5712136419997478e-08 | 9.293386682429627e-08,3.5269679301563883e-06,3.604287849157117e-05 | 1,7
230 | 7.666667066514492 | 154.18716430664062,187.74163818359375,0.25579577684402466 | 7.276296543068383e-08,-7.553829561857128e-08,-6.293201408880122e-07 | 0 | 3.177354301442392e-05,5.287457679514773e-05,-1.5082459725590525e-08 | 1.8423953633828205e-06,-2.159713176297373e-06,-1.7163276424980722e-05 | 1,7
240 | 8.000000417232513 | 154.18716430664062,187.74163818359375,0.25579577684402466 | 1.7644627092749943e-08,5.852904294556538e-08,-1.2395699968692497e-06 | 0 | -7.060308416839689e-05,1.3416150068223942e-05,-5.2258237737135005e-09 | -5.539680500987743e-07,4.1360499380971305e-06,4.004764559795149e-05 | 1,7
250 | 8.333333767950535 | 154.18716430664062,187.74163818359375,0.25579577684402466 | 1.6541287450877462e-08,8.059027578610767e-08,2.116804125762428e-06 | 0 | -5.552434959099628e-05,1.1639153854048345e-05,2.667546628032369e-09 | 5.317160685081035e-07,1.5916956499495427e-06,4.004764195997268e-05 | 1,7
260 | 8.666667118668556 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -1.1378570974329705e-08,-2.308732227618293e-08,-2.002382188948104e-06 | 0 | 1.3582421161117963e-05,-7.921242286101915e-06,-9.558316360624985e-10 | -4.124429153762321e-07,-8.449837878288236e-07,-5.721084903598239e-07 | 1,7
270 | 9.000000469386578 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -1.6874801556099328e-09,-6.325173718124688e-10,1.5065542129377718e-06 | 0 | 6.29791088613274e-07,-1.23844029076281e-06,2.4418955746341453e-10 | -1.4213009436048196e-08,1.742984601094122e-08,-5.721095476474147e-06 | 1,7
280 | 9.333333820104599 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -1.3937410336950506e-08,3.614952959196671e-08,-1.6400463209720328e-06 | 0 | -1.7175132597913034e-05,-9.667415724834427e-06,2.082739314346327e-09 | -4.10267517736429e-07,1.055101165547967e-06,-4.748505671159364e-05 | 1,7
290 | 9.66666717082262 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -1.853567255238886e-08,-1.0763526603341234e-07,-1.6781871181592578e-06 | 0 | 7.509040733566508e-05,-1.2739519661408849e-05,-5.29335553167698e-09 | -8.376445492785933e-08,-3.315451067464892e-06,-1.7735388610162772e-05 | 1,7
300 | 10.000000521540642 | 154.18716430664062,187.74163818359375,0.25579577684402466 | 1.180843689496669e-08,8.480964264201418e-10,1.8307495111002936e-06 | 0 | -3.418783308006823e-06,8.731245543458499e-06,-1.953932127207736e-09 | 3.241635937456522e-08,1.3027141676502652e-06,-2.86054591924767e-06 | 1,7
310 | 10.333333872258663 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -7.435709825642789e-09,6.788091866383184e-08,-2.631702500366373e-06 | 0 | -4.0119510231306776e-05,-5.260353646008298e-06,3.52332052422355e-09 | -4.1374894976797805e-07,2.936239070550073e-06,-1.6019059330574237e-05 | 1,7
320 | 10.666667222976685 | 154.18716430664062,187.74163818359375,0.25579577684402466 | 7.46328154832554e-09,-5.0361091297190796e-08,1.3921323898102855e-06 | 0 | 2.134634632966481e-05,5.438108473754255e-06,-4.6270067777243185e-09 | -4.190546221138902e-08,4.533439845744169e-09,-5.72109183849534e-06 | 1,7
330 | 11.000000573694706 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -9.17721065807342e-10,6.366915528133177e-08,-1.7735386563799693e-06 | 0 | -3.613718945416622e-05,-5.019095397074125e-07,2.8019324638250964e-09 | -3.9910390547959196e-09,1.9122298908769153e-06,-5.1489827455952764e-05 | 1,7
340 | 11.333333924412727 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -3.2566113694620924e-10,4.4685165789815073e-08,-1.5065542129377718e-06 | 0 | -2.5343642846564762e-05,-3.7888844417466316e-07,3.5698726197352926e-09 | -2.2091606766139193e-08,2.726629411142767e-08,-2.2884339614392957e-06 | 1,7
350 | 11.666667275130749 | 154.18716430664062,187.74163818359375,0.25579577684402466 | 1.5903481198620284e-08,7.0152941233914135e-09,1.8116792261935188e-06 | 0 | -6.572682650585193e-06,1.096222513297107e-05,-1.0106132597442752e-10 | 3.853002681353246e-07,-1.4524887070876957e-08,-5.721088655263884e-06 | 1,7
360 | 12.00000062584877 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -1.6325470753031368e-08,5.323148855040927e-08,-2.5363508484588237e-06 | 0 | -3.504996857373044e-05,-1.1327101674396545e-05,1.941722560516723e-09 | -3.6558751048687554e-07,2.6230820822092937e-06,-1.659116787777748e-05 | 1,7
370 | 12.333333976566792 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -2.459812264987704e-08,-5.969972249886268e-08,1.7544682577863568e-06 | 0 | 3.415661194594577e-05,-1.667815013206564e-05,-5.964018168214125e-09 | -9.194071139972948e-07,-9.16300052722363e-07,4.004766196885612e-06 | 1,7
380 | 12.666667327284813 | 154.18716430664062,187.74163818359375,0.25579577684402466 | -9.17721065807342e-10,6.366915528133177e-08,-1.7735386563799693e-06 | 0 | -3.613718945416622e-05,-5.019095397074125e-07,2.8019526698841446e-09 | -3.9910390547959196e-09,1.9122298908769153e-06,-5.1489827455952764e-05 | 0,0
390 | 13.000000678002834 | 154.17282104492188,187.7418975830078,0.2555829584598541 | -0.15885202586650848,0.0017003972316160798,1.1823590284620877e-06 | 0 | 0.020163321867585182,0.12014386057853699,1.062063455581665 | 0.45947667956352234,0.04135311394929886,7.723474118392915e-05 | 0,0
400 | 13.333334028720856 | 153.957763671875,187.74362182617188,0.25436386466026306 | -1.1674258708953857,0.004452093504369259,-5.0727016969176475e-06 | 270.2 | -0.0042642271146178246,0.30273500084877014,0.49411389231681824 | -3.048405408859253,-0.0017423460958525538,4.0619757783133537e-05 | 0,0
