Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
6766 | 225.53334509581327 | 136.24472045898438,221.4710693359375,0.3492129445075989 | -0.11739455908536911,-4.995265007019043,-0.01272517815232277 | 181.3 | -0.016834523528814316,0.0049537960439920425,-0.41951626539230347 | -0.22287188470363617,0.15990255773067474,-0.3826460838317871 | 0,0
6804 | 226.80001182854176 | 136.076904296875,215.05735778808594,0.3494630455970764 | -0.1253034621477127,-5.104037761688232,0.0005432176985777915 | 181.4 | 0.04404198378324509,-0.033367522060871124,1.7983287572860718 | 0.09486927837133408,-0.29402729868888855,-0.01077968254685402 | 0,0
6843 | 228.10001189634204 | 135.99607849121094,209.7343292236328,0.3464653789997101 | -0.0003219286154489964,-6.165265949675813e-05,0.000641353486571461 | 0 | 0.012720344588160515,-0.04520541802048683,-0.0009734744671732187 | -0.0030601138714700937,4.727502822875977,-0.0024108674842864275 | 1,6
6882 | 229.40001196414232 | 135.99603271484375,209.735595703125,0.34891119599342346 | -5.961902616036241e-07,1.285068537981715e-05,2.5935619305528235e-06 | 0 | 0.009856724180281162,0.00030040848650969565,2.9665457077499013e-06 | 2.880114379877341e-06,-5.167031122255139e-05,1.716332349133154e-06 | 1,6
6921 | 230.7000120319426 | 135.99603271484375,209.735595703125,0.34892845153808594 | -5.7541786446790866e-08,1.1743087924287465e-07,-1.7163276311293885e-07 | 0 | 9.157517342828214e-05,3.233101233490743e-05,1.4678358084552201e-08 | -3.1795777886145515e-06,5.348205718291865e-07,3.4326553759456147e-06 | 1,6
6958 | 231.93334542959929 | 135.99603271484375,209.735595703125,0.34892845153808594 | 1.2876875565837054e-08,-9.909501663685205e-09,5.7210922221884175e-08 | 0 | -8.395491022383794e-06,-1.6245692677330226e-05,4.269818276725346e-09 | 7.926388434498222e-07,-4.6019482624615193e-07,-4.576873834594153e-06 | 1,6
6997 | 233.23334549739957 | 135.99603271484375,209.735595703125,0.34892845153808594 | -1.429142759690194e-08,1.2844104446685378e-08,6.293201408880122e-07 | 0 | 1.0654794095898978e-05,1.690051612968091e-05,-3.7013894171877837e-09 | -8.672927265251928e-07,4.565944209389272e-07,6.865310751891229e-06 | 1,6
7036 | 234.53334556519985 | 135.99603271484375,209.735595703125,0.34892845153808594 | -1.9385327121312912e-08,4.209880444250302e-09,4.958279760103323e-07 | 0 | 3.232898734495393e-06,9.769988537300378e-06,4.911725470790884e-10 | -5.353190317691769e-07,6.227382698398287e-08,1.1442178902143496e-06 | 1,6
7075 | 235.83334563300014 | 135.99603271484375,209.735595703125,0.34892845153808594 | 2.7504205135642223e-08,1.788943393421505e-08,2.288436888875367e-07 | 0 | 1.464268279960379e-05,-2.3806334866094403e-05,7.990825223735953e-10 | 8.251261078839889e-07,5.36682989604742e-07,6.865310297143878e-06 | 1,6
7112 | 237.06667903065681 | 135.99603271484375,209.735595703125,0.34892845153808594 | 1.693136475466872e-08,-1.8580830207781673e-09,5.530388875740755e-07 | 0 | -1.5136188267206308e-06,-1.4072546946408693e-05,1.3038746748961216e-09 | 8.905368531486602e-07,-5.918572014707024e-07,1.1442182767495979e-05 | 1,6
7152 | 238.4000124335289 | 135.99603271484375,209.735595703125,0.34892845153808594 | 9.593118660555788e-11,-1.9332389022963525e-09,1.1442184444376835e-07 | 0 | -1.5031689599709352e-06,-5.4441493091417215e-08,-3.0574195952759453e-10 | 1.0276361983585502e-09,-1.953004691301885e-08,1.1442183449617005e-06 | 1,6
7191 | 239.70001250132918 | 135.99603271484375,209.735595703125,0.34892845153808594 | 2.509496965785729e-08,-1.1815184386421151e-08,-7.628123199765469e-08 | 0 | -9.846422472037375e-06,-2.238849447167013e-05,3.92285759431843e-09 | 8.582038049098628e-07,-4.60384285361215e-07,-4.576873834594153e-06 | 1,6
7230 | 241.00001256912947 | 135.99607849121094,209.73056030273438,0.3489514887332916 | 0.0002676357398740947,-0.01561690866947174,1.0870074902413762e-06 | 0 | -0.06201788783073425,-0.02401316910982132,0.6898278594017029 | 0.009934116154909134,-0.1456727236509323,-3.3754440664779395e-05 | 0,0
7267 | 242.23334596678615 | 136.0121612548828,207.28970336914062,0.3492264151573181 | 0.03360023722052574,-3.130215883255005,-7.799755621817894e-06 | 179.4 | -0.16473239660263062,-0.03771943971514702,0.5100803971290588 | -0.0485939122736454,0.04667758569121361,8.581638394389302e-05 | 0,0
7307 | 243.56667936965823 | 136.09671020507812,201.43899536132812,0.34947463870048523 | 0.07952716201543808,-5.0169677734375,0.0030329797882586718 | 179.1 | -0.008900160901248455,-0.0007706148899160326,0.02503148652613163 | -0.0008799880160950124,-0.16306398808956146,-0.05887175351381302 | 0,0
7348 | 244.93334610760212 | 135.93197631835938,194.62869262695312,0.34850722551345825 | -1.0882209539413452,-4.863856792449951,0.00012496771523728967 | 192.6 | 0.03049030341207981,0.21351225674152374,-19.005279541015625 | 1.6322993040084839,-0.909390389919281,0.007056966423988342 | 0,0
7387 | 246.2333461754024 | 132.51048278808594,189.34481811523438,0.34955692291259766 | -3.944455146789551,-3.1221752166748047,0.0026560931000858545 | 231.6 | -1.241067886352539,-1.1988979578018188,-24.026599884033203 | -4.21280574798584,6.1565632820129395,-0.07634684443473816 | 0,0
7423 | 247.43334623798728 | 126.95040893554688,187.5911407470703,0.34945815801620483 | -5.11807918548584,-0.3020039200782776,0.0010206809965893626 | 266.6 | 1.2126847505569458,0.15769171714782715,-18.278779983520508 | -0.1045989915728569,-2.486971378326416,-0.03592788428068161 | 0,0
7464 | 248.80001297593117 | 120.02973175048828,187.39622497558594,0.3494713604450226 | -5.138063907623291,0.06410045921802521,0.00023725369828753173 | 270.7 | 0.1520923227071762,0.04589281976222992,-5.1937737464904785 | 0.6309413313865662,-0.03484077379107475,-0.00572509691119194 | 0,0
7504 | 250.13334637880325 | 113.28653717041016,187.5183868408203,0.34938329458236694 | -5.012785911560059,0.11182580888271332,0.0011240610620006919 | 271.3 | 0.1232028529047966,-0.017606088891625404,-0.36577656865119934 | -0.08454322069883347,-0.6131292581558228,-0.02001180686056614 | 0,0
7543 | 251.43334644660354 | 106.3460693359375,187.68649291992188,0.34938204288482666 | -5.287769794464111,0.10824738442897797,-1.1690098290273454e-05 | 271.2 | -0.09641054272651672,-0.01744689978659153,2.954188585281372 | -0.024819372221827507,-0.009123756550252438,0.00010526810365263373 | 0,0
7580 | 252.66667984426022 | 99.7462158203125,187.7552032470703,0.3494330048561096 | -5.378475666046143,-0.004935968667268753,-1.5828354662517086e-06 | 269.9 | -0.04891686514019966,0.006821812596172094,3.3801491260528564 | 0.004405974876135588,-0.2989915609359741,-3.432654466450913e-06 | 0,0
10434 | 347.8000181391835 | 136.28005981445312,221.03045654296875,0.34938105940818787 | -0.11527872830629349,-5.016787528991699,-5.932772546657361e-05 | 181.3 | -0.03723153844475746,0.09770672023296356,-3.3578569889068604 | -0.0924624428153038,0.4579639136791229,-0.00014531567285303026 | 0,0
10472 | 349.066684871912 | 136.12220764160156,214.58413696289062,0.34937503933906555 | -0.12726791203022003,-5.023263931274414,-2.4085798941086978e-05 | 181.5 | 0.024213772267103195,0.12258366495370865,-2.6579060554504395 | 0.1011250838637352,0.01340389158576727,0.00015160892507992685 | 0,0
10513 | 350.4333516098559 | 136.03375244140625,210.1667938232422,0.34781527519226074 | 0.00010444909275975078,0.0007108874269761145,0.00039506045868620276 | 0 | 0.5693162679672241,0.01950010098516941,-1.9951225112890825e-05 | -0.00023218285059556365,-0.0024771299213171005,-0.0018038605339825153 | 1,6
10553 | 351.766685012728 | 136.0337371826172,210.1672821044922,0.3489224910736084 | -1.3081015026727982e-07,4.019649168185424e-06,7.05601394201949e-07 | 0 | 0.0030912691727280617,9.482404857408255e-05,5.034980290474778e-07 | -2.7587298063735943e-06,-3.187141999205778e-07,-1.9451712432783097e-05 | 1,6
10592 | 353.06668508052826 | 136.0337371826172,210.1672821044922,0.34892886877059937 | 1.0969620767298238e-08,1.8405795776388345e-09,7.05601394201949e-07 | 0 | 9.56340272750822e-07,-2.085451706079766e-05,4.8740087521537134e-09 | 3.602677907110774e-07,-1.4259537692851154e-06,8.009529665287118e-06 | 1,6
10630 | 354.33335181325674 | 136.0337371826172,210.1672821044922,0.34892886877059937 | -5.701746186304035e-09,5.216358012205546e-09,4.1954677953981445e-07 | 0 | 4.038501174363773e-06,4.52898484581965e-06,-1.2879624033956816e-09 | -1.3271919669932686e-06,5.561824991673348e-07,-8.009527846297715e-06 | 1,6
10670 | 355.6666852161288 | 136.0337371826172,210.1672821044922,0.34892886877059937 | -4.319825830378932e-09,-2.6527890994998415e-09,5.530388875740755e-07 | 0 | -1.249078195542097e-06,-7.124296189431334e-06,-2.31880226131409e-09 | -5.216559770815365e-07,-3.858977848381073e-08,2.2884357804286992e-06 | 1,6
