Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1716 | 57.20000298321247 | 136.14950561523438,221.06866455078125,0.17241314053535461 | -0.12577113509178162,-5.284893035888672,0.0015281037194654346 | 181.4 | -0.2643379867076874,0.013851974159479141,-0.3976975381374359 | -0.05720525607466698,-1.4019297361373901,-0.061421073973178864 | 0,0
1756 | 58.53333638608456 | 136.0172882080078,214.11973571777344,0.17262539267539978 | -0.04217667505145073,-5.161929607391357,-5.568529559241142e-06 | 180.5 | 0.006507462356239557,0.013511995784938335,0.9381067752838135 | 0.07386177033185959,-0.08211135119199753,8.753270958550274e-05 | 0,0
1797 | 59.900003124028444 | 136.00515747070312,210.562255859375,0.17344245314598083 | -0.00010474972805241123,0.001206127111800015,0.00022766133770346642 | 0 | -0.6683796048164368,-0.018913807347416878,0.0002139769057976082 | 0.00041764293564483523,-0.0055244737304747105,-0.0014497243100777268 | 1,6
1838 | 61.26666986197233 | 136.00518798828125,210.5614776611328,0.17221404612064362 | -1.4619217836298048e-07,5.221143965172814e-06,8.200231604860164e-07 | 0 | -0.0028002227190881968,-9.829828195506707e-05,-5.438595280793379e-07 | -4.906112494040826e-08,-1.9254488506703638e-05,2.860544327631942e-06 | 1,6
1877 | 62.566669929772615 | 136.00518798828125,210.5614776611328,0.1722089797258377 | -3.1087243890226546e-09,5.7888939863914857e-08,6.674607675449806e-07 | 0 | -3.092531915172003e-05,-2.1792156985611655e-06,-5.846259920616603e-09 | -6.5055423270621304e-09,-6.262017677727272e-07,1.258640259038657e-05 | 1,6
1917 | 63.9000033326447 | 136.00518798828125,210.5614776611328,0.1722089797258377 | -2.593320957283707e-12,6.585501588496356e-10,-3.814061599882734e-08 | 0 | -3.4862844700001006e-07,-9.639617992718286e-10,-5.595612861952759e-11 | -7.779962091225556e-11,1.9756503988332952e-08,-1.1442184586485382e-06 | 1,6
1958 | 65.26667007058859 | 136.00518798828125,210.5614776611328,0.1722089797258377 | -2.273492727411508e-09,-8.084973579514099e-09,-3.814061599882734e-08 | 0 | 4.322230324760312e-06,-1.8116737692253082e-06,8.223786651662124e-10 | -1.846415926820555e-07,-3.144990756709376e-08,0.0 | 1,6
1999 | 66.63333680853248 | 136.00518798828125,210.5614776611328,0.1722089797258377 | -2.413107402787773e-08,1.4009454929464482e-08,-2.479139880051662e-07 | 0 | -7.291869678738294e-06,-1.1460436326160561e-05,1.7646868688547812e-10 | -9.14490954073699e-07,5.301708370097913e-07,-6.293200840445934e-06 | 1,6
2038 | 67.93333687633276 | 136.00518798828125,210.5614776611328,0.1722089797258377 | 3.58486323959184e-10,1.8298639270497574e-09,-3.623358395543619e-07 | 0 | -9.760723287399742e-07,2.704906876260793e-07,-1.7419399256368706e-10 | -3.4673071080959517e-09,1.9516637195238218e-08,-1.1442178902143496e-06 | 1,6
2080 | 69.33333694934845 | 136.00518798828125,210.5614776611328,0.1722089797258377 | -4.3636093002841214e-12,9.840857018161842e-10,-5.7210922221884175e-08 | 0 | -5.22952802839427e-07,-1.4389410774029443e-09,-8.893584479974237e-11 | -1.0323070870343898e-10,1.953540795796016e-08,-1.1442183449617005e-06 | 1,6
2121 | 70.70000368729234 | 136.00518798828125,210.5614776611328,0.1722089797258377 | -3.1757799945353327e-08,-1.5089957727809633e-08,0.0 | 0 | 7.869291948736645e-06,-1.683080154180061e-05,2.1873198807753624e-09 | -9.523354265184025e-07,-5.310512847245263e-07,4.576873834594153e-06 | 1,6
