Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
13333 | 444.4333565123379 | 135.97808837890625,224.07528686523438,0.25625964999198914 | 0.10834993422031403,-4.95085334777832,6.674607675449806e-07 | 178.7 | -0.01177253108471632,0.219222292304039,2.2909536361694336 | -0.0890640839934349,-0.04358768090605736,-3.8903424865566194e-05 | 0,0
13372 | 445.7333565801382 | 136.12852478027344,217.61111450195312,0.2562524974346161 | 0.14077679812908173,-4.993954658508301,5.7210922221884175e-08 | 178.4 | -0.000605046923737973,0.02559640258550644,0.3171747028827667 | 0.014553218148648739,-0.03368854150176048,-8.009529665287118e-06 | 0,0
13414 | 447.1333566531539 | 136.26792907714844,210.70455932617188,0.25969889760017395 | -0.011540676467120647,-4.0428571701049805,1.5199035260593519e-05 | 180.2 | 2.5630667209625244,0.04069619998335838,-1.886034369468689 | -0.10756704956293106,6.032909870147705,0.016516219824552536 | 1,6
13455 | 448.5000233910978 | 136.26744079589844,209.59005737304688,0.2567192018032074 | 2.2907002858119085e-05,0.001150615862570703,-2.6984484065906145e-05 | 0 | -0.23991388082504272,0.005382371135056019,5.244273415883072e-05 | -0.00010488652333151549,-0.008428177796304226,-7.265783642651513e-05 | 1,6
13496 | 449.8666901290417 | 136.26742553710938,209.5899200439453,0.2564498484134674 | 3.3946113831007096e-07,1.5712640788478893e-06,-1.3730621049035108e-06 | 0 | -0.00032665434991940856,7.743645255686715e-05,5.054598162246293e-08 | 1.7629212152314722e-06,-6.373063115461264e-06,3.489866139716469e-05 | 1,6
13534 | 451.13335686177015 | 136.26742553710938,209.58990478515625,0.2564495801925659 | 0.0,0.0,0.0 | 0 | 0.0,0.0,0.0 | 3.0621853852608183e-07,-6.720561032125261e-07,3.261022357037291e-05 | 1,6
13575 | 452.50002359971404 | 136.26182556152344,208.37985229492188,0.24958491325378418 | -0.024432620033621788,-2.6892178058624268,2.1511306840693578e-05 | 180.5 | 0.25398415327072144,0.004145425744354725,-0.6342436671257019 | -0.05411814525723457,-2.5043604373931885,0.0004416682932060212 | 0,0
13615 | 453.8333570025861 | 136.20863342285156,202.9423065185547,0.25420433282852173 | -0.058716781437397,-4.931550025939941,3.575682421796955e-05 | 180.7 | 0.7060917615890503,0.0034378536511212587,-0.15217085182666779 | -0.021348481997847557,0.02021312527358532,9.725844392960425e-06 | 0,0
13656 | 455.20002374053 | 136.11927795410156,196.3360137939453,0.2561973035335541 | -0.23242218792438507,-4.835047245025635,-2.8243124688742682e-05 | 182.8 | 0.04803134500980377,1.8937968015670776,-4.242487907409668 | -1.8289047479629517,0.07603167742490768,-0.0005858397926203907 | 0,0
13693 | 456.4333571381867 | 134.13145446777344,190.86404418945312,0.25720489025115967 | -3.250903606414795,-3.6215994358062744,-0.00023801650968380272 | 221.9 | 1.2225301265716553,1.6314605474472046,-30.703779220581055 | -3.5848686695098877,3.688952684402466,-0.003927529789507389 | 0,0
13733 | 457.7666905410588 | 128.7003631591797,187.761474609375,0.25736525654792786 | -4.913730621337891,-0.4949045479297638,0.0005370198632590473 | 264.2 | -2.8977270126342773,-0.5789063572883606,-28.2547550201416 | -0.3230094611644745,-0.13277827203273773,0.006374440621584654 | 0,0
13773 | 459.10002394393086 | 122.1279296875,187.4344482421875,0.2563118636608124 | -4.963893413543701,0.0920318141579628,-3.623358395543619e-07 | 271.1 | -0.3460027575492859,0.02139723300933838,-3.652434825897217 | -0.047163959592580795,-0.2410009354352951,7.437420208589174e-06 | 0,0
13813 | 460.43335734680295 | 115.47872161865234,187.5770263671875,0.25662747025489807 | -5.000241756439209,0.13118325173854828,0.0075902873650193214 | 271.5 | -0.013559727929532528,-0.006141491234302521,-0.2594221234321594 | -0.07192610949277878,0.002597272163257003,0.5079230666160583 | 0,0
